OwnerId,Owner,Roster,Player,Team,Position,Age,DyRank,PaYds,PaTDs,RuYds,RuTDs,Receptions,ReYds,ReTDs,Turnovers,FP2017,PFP2018
1,Alex,1,Ravens DST,0,DST, , ,0,0,0,0,0,0,0,0,213,130.3
1,Alex,2,Saints DST,0,DST, , ,0,0,0,0,0,0,0,0,172,104.25
1,Alex,3,Josh Allen,BUF,QB,21,197.83,1381.35,7.885,63.55,0.85,0,0,0,7.82,0,106.539
1,Alex,4,Kirk Cousins,MIN,QB,29,91.5,4110.2,26.4,130.9,2.045,0,0,0,18.47,354.62,331.298
1,Alex,5,Tom Brady,NE,QB,40,119.17,4287.2,31.25,49.85,1.1,0,0,0,12.02,369.88,360.293
1,Alex,6,Alex Collins,BAL,RB,23,97.67,0,0,918.9,6.145,29.45,222.7,1.005,1.53,161.5,170.655
1,Alex,7,Kerryon Johnson,DET,RB,20,78.83,0,0,471.3,3.12,24.4,187.35,1.06,0.81,0,102.515
1,Alex,8,Le'Veon Bell,PIT,RB,26,6.5,0,0,1298.7,9.845,76.95,594.4,2.61,2.45,301.1,300.645
1,Alex,9,Rex Burkhead,NE,RB,27,160.17,0,0,476.8,4.345,23.15,190.5,0.69,0.61,113.8,108.105
1,Alex,10,Austin Ekeler,LAC,RB,22,194,0,0,340.7,2.275,25,215.95,1.55,0.72,96.4,90.575
1,Alex,11,Corey Clement,PHI,RB,23,180.67,0,0,389.95,3.405,31.5,257.9,1.79,0.82,85.4,111.225
1,Alex,12,DeMarco Murray,FA,RB,30,177.33,0,0,0,0,0,0,0,0,153,0
1,Alex,13,Derrick Henry,TEN,RB,23,47,0,0,969.1,8.44,18.2,146.35,0.775,1.52,128.5,174.955
1,Alex,14,Evan Engram,NYG,TE,23,39.33,0,0,0,0,61.65,687.25,3.74,0.47,141.6,121.64
1,Alex,15,David Njoku,CLE,TE,21,79,0,0,0,0,39.8,454.85,3.835,0.21,78.7,88.365
1,Alex,16,Dez Bryant,FA,WR,29,67.33,0,0,0,0,0,0,0,0,153.9,0
1,Alex,17,Larry Fitzgerald,ARI,WR,34,109.67,0,0,0,0,99.65,1000.6,5.505,0.74,206.1,182.415
1,Alex,18,Marquise Goodwin,SF,WR,27,121,0,0,29.45,0.055,49.85,799,4.085,0.37,140.6,132.4
1,Alex,19,Michael Clark,GB,WR, , ,0,0,0,0,13.7,188.7,1.28,0.09,0,33.37
1,Alex,20,Mike Wallace,PHI,WR,31,188.83,0,0,2,0,43.85,611.95,4.335,0.29,125.2,109.26
1,Alex,21,Alshon Jeffery,PHI,WR,28,33.5,0,0,0,0,63.85,909.5,7.77,0.42,161.4,169.495
1,Alex,22,Paul Richardson,WSH,WR,26,130.67,0,0,0,0,0,0,0,0,0,0
1,Alex,23,Pierre Garcon,SF,WR,31,121.33,0,0,0,0,66.95,805.85,3.94,0.51,70,137.37
1,Alex,24,Robby Anderson,NYJ,WR,25,137.5,0,0,30.95,0.125,61.6,855.6,5.285,0.41,168.5,151.745
1,Alex,25,Brandon Coleman,NO,WR, , ,0,0,0,0,3.43,51.6,0.36,0.02,65.9,9.035
1,Alex,26,Demaryius Thomas,DEN,WR,30,56.5,0,0,0,0,83.8,1001.8,5.945,0.57,166.4,177.46
2,Justin,1,Panthers DST,0,DST, , ,0,0,0,0,0,0,0,0,158,110.95
2,Justin,2,Chargers DST,0,DST, , ,0,0,0,0,0,0,0,0,177,114.15
2,Justin,3,Jimmy Garoppolo,SF,QB,26,84.33,4036.95,23.15,126.7,1.115,0,0,0,21.41,106.5,299.528
2,Justin,4,Carson Wentz,PHI,QB,25,48,4003.4,28.5,278.4,1.375,0,0,0,15.72,352.74,353.146
2,Justin,5,Ezekiel Elliott,DAL,RB,22,5.17,0,0,1356.65,11.6,43.8,442.15,2.03,2.26,189.2,281.96
2,Justin,6,Joe Williams,SF,RB, , ,0,0,171.9,1.15,8.01,59.1,0.29,0.36,0,35.465
2,Justin,7,LeGarrette Blount,DET,RB,31,199.83,0,0,479.25,3.625,5.38,36.8,0.095,0.97,102.6,75.905
2,Justin,8,Matt Breida,SF,RB,23,183.67,0,0,432.8,3.28,23.5,179.7,1.07,0.88,92,98.42
2,Justin,9,Royce Freeman,DEN,RB,22,65,0,0,814.2,6.155,30.35,234.7,1.04,1.67,0,161.985
2,Justin,10,Sony Michel,NEP,RB,23,62.5,0,0,663.7,5.41,22.15,183.95,1.175,1.27,0,134.5
2,Justin,11,Ty Montgomery,GB,RB,25,132.5,0,0,221.05,1.9,36.6,299.1,1.04,0.4,0,87.695
2,Justin,12,Alvin Kamara,NO,RB,21,14,0,0,752.55,7.585,80.05,802.25,3.51,1.49,272.9,261.085
2,Justin,13,C.J. Prosise,SEA,RB,23,185,0,0,0,0,38.3,307.9,1.51,0.29,0,58.79
2,Justin,14,Adam Shaheen,CHI,TE,24,198.17,0,0,0,0,19,217.5,1.72,0.13,0,41.52
2,Justin,15,O.J. Howard,TB,TE,23,91,0,0,0,0,37.3,450.85,3.52,0.21,92.2,84.785
2,Justin,16,Zach Ertz,PHI,TE,27,36.17,0,0,0,0,74.05,820.35,5.455,0.52,167.4,151.51
2,Justin,17,Chris Hogan,NE,WR,29,118.33,0,0,8.5,0,56.2,748.15,5.4,0.31,92.6,136.095
2,Justin,18,Dante Pettis,SFO,WR,22,119.17,0,0,0,0,40.4,481.6,3.08,0.29,0,86.69
2,Justin,19,Jamison Crowder,WSH,WR,24,71.33,0,0,15,0,70.7,833.45,4.705,0.52,133.3,148.165
2,Justin,20,Josh Doctson,WSH,WR,25,116.17,0,0,4,0,53.7,710.55,4.955,0.4,102.3,127.875
2,Justin,21,Albert Wilson,MIA,WR,25,183.83,0,0,3,0,43.95,543.15,2.935,0.28,95,94.06
2,Justin,22,Quincy Enunwa,NYJ,WR,25,180.5,0,0,0,0,28.25,393.15,2.085,0.09,0,65.92
2,Justin,23,T.Y. Hilton,IND,WR,28,34.67,0,0,12.1,0.045,68.1,1116.3,7.235,0.44,149.1,190.49
2,Justin,24,Amara Darboh,SEA,WR,24,190.5,0,0,0,0,35.7,463.1,3.01,0.27,0,82.09
2,Justin,25,Carlos Henderson,DEN,WR,23,183.33,0,0,0,0,32.9,423,2.56,0.21,0,74.02
2,Justin,26,Cedrick Wilson,DAL,WR,22,195.5,0,0,0,0,0,0,0,0,0,0
3,Walker,1,Jaguars DST,0,DST, , ,0,0,0,0,0,0,0,0,224,136.2
3,Walker,2,Andrew Luck,IND,QB,28,78.33,3846.25,25.05,304.05,1.425,0,0,0,18.43,0,326.235
3,Walker,3,Andy Dalton,CIN,QB,30,197,3741.65,24.05,102.4,1.28,0,0,0,15.73,280.7,297.636
3,Walker,4,James Conner,PIT,RB, , ,0,0,335,2.47,4.25,31.5,0.14,0.54,0,54.015
3,Walker,5,Joe Mixon,CIN,RB,21,25,0,0,833.6,6.825,38.15,314.35,1.43,1.76,129.3,182.08
3,Walker,6,Mike Davis,SEA,RB, , ,0,0,0,0,0,0,0,0,0,0
3,Walker,7,Orleans Darkwa,NYG,RB, , ,0,0,0,0,0,0,0,0,125.2,0
3,Walker,8,Todd Gurley II,LAR,RB,23,3.17,0,0,1204.7,11,59.65,579.75,2.71,2.3,350.3,288.87
3,Walker,9,Dallas Goedert,PHI,TE,23,176.83,0,0,0,0,22.4,252.6,2.43,0.15,0,51.01
3,Walker,10,Hunter Henry,LAC,TE,23,65.67,0,0,0,0,56.35,736.8,6.115,0.39,104.4,138.555
3,Walker,11,Austin Seferian-Jenkins,JAX,TE,25,153.5,0,0,0,0,47.55,478.8,3.025,0.29,78.7,89.655
3,Walker,12,Benjamin Watson,NO,TE, , ,0,0,0,0,42.4,412.7,4.11,0.3,106.7,87.03
3,Walker,13,Charles Clay,BUF,TE, , ,0,0,0,0,50.75,520.05,3.615,0.32,92.3,98.91
3,Walker,14,A.J. Green,CIN,WR,29,16,0,0,0,0,83.35,1230.85,7.795,0.61,193.3,211.34
3,Walker,15,Corey Coleman,CLE,WR,23,125.5,0,0,0,0,29.4,382.05,2.32,0.15,54,66.755
3,Walker,16,Donte Moncrief,JAX,WR,24,141.83,0,0,0,0,39.75,538.6,4.26,0.29,64.1,99.325
3,Walker,17,Golden Tate,DET,WR,29,60.67,0,0,29.95,0.075,82.75,923.1,5.4,0.61,178.5,169.16
3,Walker,18,J'Mon Moore,GB,WR,22,196.83,0,0,0,0,0,0,0,0,0,0
3,Walker,19,John Brown,BAL,WR,28,165.5,0,0,30.1,0.12,44.75,603.45,3.415,0.33,59.4,106.75
3,Walker,20,Keelan Cole,JAX,WR,25,161,0,0,0,0,37.3,600.65,3.275,0.2,113.8,98.285
3,Walker,21,Michael Thomas,NO,WR,25,6.83,0,0,2.5,0,94.15,1175.7,7.73,0.68,206.5,210.995
3,Walker,22,Ted Ginn Jr.,NO,WR,33,194.83,0,0,38.75,0.045,39.05,566.9,3.785,0.26,133.1,102.99
3,Walker,23,Tyler Lockett,SEA,WR,25,158.17,0,0,50.3,0.105,52.25,671.4,3.955,0.45,95.8,122.365
3,Walker,24,Brandon Marshall,NYG,WR, , ,0,0,0,0,25.3,271.3,2.26,0.18,0,53.26
3,Walker,25,Calvin Ridley,ATL,WR,23,88.83,0,0,2.5,0,51.8,650.1,4.185,0.35,0,116.14
3,Walker,26,Christian Kirk,ARI,WR,21,106.5,0,0,0,0,46.65,571.5,3.37,0.33,0,100.505
4,Ethan,1,Bills DST,0,DST, , ,0,0,0,0,0,0,0,0,131,86.7
4,Ethan,2,Lamar Jackson,BAL,QB,21,166.67,188.5,0.87,7.42,0.07,0,0,0,1.34,0,12.642
4,Ethan,3,Tyrod Taylor,CLE,QB,28,200.83,2654.8,16.1,314.65,3.675,0,0,0,8.46,257.86,248.907
4,Ethan,4,Cam Newton,CAR,QB,29,69.67,3446.2,22.85,570.55,5.335,0,0,0,21.51,359.48,344.003
4,Ethan,5,Donnel Pumphrey,PHI,RB, , ,0,0,0,0,0,0,0,0,0,0
4,Ethan,6,Josh Adams,PHI,RB, , ,0,0,0,0,0,0,0,0,0,0
4,Ethan,7,Mark Ingram,NO,RB,28,43.83,0,0,902.75,7.53,42.25,308.6,2.005,1.54,253,198.31
4,Ethan,8,Mark Walton,CIN,RB,21,195.83,0,0,0,0,0,0,0,0,0,0
